Student Name,Student Roll Number,Student Class & Section,Student Marks,Student Attendance,Student Result,Student Fee,Student Number of Leave,Student Contact,Student Behavior,Student have number of awards,Student make number of Projects,Student take part number of Events,Student enrolled in number of Online Courses,Student have number of Certifications,Student Soft Skills,Student have Communication Skills,Student have Teamwork Skills,Student have Problem Solving Skills,Student have Decision Making Skills
Anthony Oliver,3297,12-A,472,86%,Pass,Unpaid,3,9871236540,Excellent,5,8,0,0,1,"off, seem, institution, water",No,Yes,No,Yes
Donald Rivera,1367,12-B,251,99%,Pass,Paid,8,9871236540,Poor,1,5,3,6,0,"city, center, gun, other",No,Yes,Yes,No
Jessica Smith,9654,12-B,476,77%,Pass,Unpaid,1,9871236540,Poor,5,8,6,1,1,"force, very, grow, region",Yes,Yes,No,Yes
Brandon King,3000,12-C,233,77%,Fail,Unpaid,2,9871236540,Average,3,2,3,3,0,"billion, event, finish, example, else",No,Yes,No,Yes
James Gardner,7783,11-C,329,94%,Pass,Paid,0,9871236540,Poor,0,1,4,0,1,"we, probably, take, letter, study",Yes,Yes,No,No
Rodney Hughes,2146,12-B,398,77%,Pass,Paid,1,9871236540,Good,2,2,1,0,3,"already, mind, indicate, bank, song",Yes,No,Yes,No
Anne Thomas,9258,12-C,336,83%,Pass,Unpaid,7,9871236540,Excellent,3,1,8,3,1,"middle, mean, care, blue, decade",Yes,Yes,Yes,Yes
Sarah Ruiz,5863,12-B,402,83%,Pass,Unpaid,9,9871236540,Excellent,3,10,8,4,1,"control, player, idea",Yes,No,Yes,No
Steven Morgan,3643,12-C,386,79%,Pass,Paid,1,9871236540,Good,2,5,1,4,1,"near, forget, big",No,No,Yes,No
Alexis Evans,9097,12-B,367,79%,Pass,Paid,2,9871236540,Excellent,2,3,1,4,0,"left, anything, hope",Yes,Yes,Yes,Yes
Christopher Andrews,6579,12-A,381,84%,Pass,Unpaid,6,9871236540,Good,2,6,8,6,3,"way, end, feel, great, north",No,No,Yes,No
Erin Phillips,2369,12-A,485,96%,Pass,Paid,5,9871236540,Poor,5,3,0,1,2,"assume, much, carry, the, else",Yes,Yes,No,Yes
Linda Sanders,1987,12-B,206,89%,Fail,Unpaid,8,9871236540,Good,5,5,3,0,2,"among, ok, open, hot",No,No,No,No
Sara Ball,3063,11-C,421,96%,Pass,Unpaid,1,9871236540,Average,1,7,0,3,0,"yourself, great",Yes,No,No,Yes
David Carrillo,7696,12-C,446,86%,Pass,Unpaid,10,9871236540,Poor,5,4,4,3,4,"best, former, environment, majority",Yes,Yes,No,No
Andrew Allen,9281,12-C,328,85%,Pass,Unpaid,10,9871236540,Average,1,10,7,6,2,"laugh, try, point",No,No,Yes,Yes
Nicole Russell,2580,12-C,485,90%,Pass,Paid,4,9871236540,Average,2,0,2,0,0,"crime, girl, guess, deep",Yes,No,Yes,No
Yolanda Hayes,6312,12-A,212,96%,Fail,Paid,3,9871236540,Excellent,0,3,8,5,0,"receive, example, wish, seem",Yes,No,No,Yes
Mark Johnson,8373,12-B,386,80%,Pass,Paid,4,9871236540,Good,5,3,5,4,1,"everyone, amount",No,Yes,No,No
Larry Stanley,4952,12-A,340,88%,Pass,Paid,3,9871236540,Poor,2,0,7,2,1,"vote, rule, game, industry, shake",No,Yes,No,No
Paula Murphy,4335,11-C,482,99%,Pass,Paid,8,9871236540,Poor,5,0,6,2,2,"realize, meeting, off",No,No,No,Yes
Fred Payne II,1529,12-C,398,75%,Pass,Paid,7,9871236540,Average,1,9,8,1,1,"issue, hand, out, magazine",Yes,No,Yes,No
Maureen Bowers,3467,11-A,232,75%,Fail,Unpaid,9,9871236540,Good,1,7,4,6,0,"place, here",Yes,No,No,Yes
John Holland,5921,12-A,220,90%,Fail,Unpaid,0,9871236540,Average,2,8,0,2,1,"significant, myself, might, staff, center",Yes,Yes,No,No
Virginia Smith,9026,11-C,314,76%,Pass,Unpaid,4,9871236540,Good,2,10,0,2,3,"car, owner",Yes,Yes,No,Yes
Crystal Lara,6293,12-B,385,92%,Pass,Paid,8,9871236540,Good,5,9,7,1,0,"culture, political, must, else, politics",No,Yes,Yes,Yes
Nancy Alvarado,6870,11-A,219,86%,Fail,Unpaid,8,9871236540,Excellent,3,3,2,2,0,"organization, work, kitchen, whom",No,No,Yes,No
Robert Orozco,9548,11-C,307,78%,Pass,Paid,8,9871236540,Average,3,7,3,1,2,"above, resource, another, reason, what",Yes,No,No,No
Jessica Mathis,4109,11-B,412,89%,Pass,Unpaid,1,9871236540,Good,3,10,8,1,4,"year, audience, view, medical",No,No,No,No
Roger Barron,3138,11-B,220,100%,Fail,Unpaid,2,9871236540,Average,5,5,6,6,2,"operation, article",Yes,No,No,Yes
Susan Jones,6733,11-C,409,83%,Pass,Unpaid,3,9871236540,Average,1,10,6,6,0,"mention, race, after, former",Yes,No,Yes,Yes
Brandon Diaz,1827,11-B,222,97%,Fail,Unpaid,9,9871236540,Good,3,10,3,3,3,"force, raise, only, open, various",Yes,No,Yes,Yes
Courtney Spears,9628,11-B,263,90%,Pass,Unpaid,4,9871236540,Poor,1,4,8,1,4,"our, bad",Yes,No,No,Yes
William Nguyen,4754,11-A,460,82%,Pass,Unpaid,7,9871236540,Poor,2,3,2,6,1,"pressure, what, last, rate",Yes,Yes,Yes,No
Ashley Murray,4963,11-C,296,80%,Pass,Unpaid,9,9871236540,Average,0,10,6,3,1,"kitchen, trouble",No,No,No,Yes
Tammy Newman,8745,11-A,439,98%,Pass,Paid,7,9871236540,Poor,5,4,6,1,3,"position, interesting",No,No,No,No
Carmen Thomas,2312,12-A,258,81%,Pass,Paid,1,9871236540,Good,1,6,6,2,3,"the, space, political",Yes,No,Yes,No
Gail Mclaughlin,8906,12-A,244,79%,Fail,Unpaid,2,9871236540,Average,3,7,5,4,0,"adult, though, performance, stage, challenge",Yes,Yes,No,No
Nicole Clark,5160,12-A,429,75%,Pass,Paid,2,9871236540,Average,2,10,6,4,2,"girl, name, loss, either",Yes,Yes,Yes,Yes
Daniel Taylor,1702,11-B,265,82%,Pass,Paid,8,9871236540,Excellent,3,5,4,2,4,"between, body, market, focus, close",No,Yes,Yes,No
David Williams,1609,12-C,299,96%,Pass,Unpaid,4,9871236540,Poor,1,9,6,6,4,"mouth, behavior, doctor, around, bring",No,No,No,No
Brandi Yu,5570,11-B,268,100%,Pass,Unpaid,2,9871236540,Poor,5,0,0,2,1,"far, writer, help",Yes,No,Yes,Yes
Brenda Jenkins,7068,11-C,239,77%,Fail,Unpaid,0,9871236540,Poor,2,1,7,6,3,"sing, that, camera, economy",Yes,Yes,Yes,No
James Clark,2363,12-A,385,83%,Pass,Unpaid,8,9871236540,Excellent,5,1,3,3,2,"notice, tend, bar, government, our",Yes,No,Yes,No
Mrs. Kathleen Arellano,8315,12-B,431,94%,Pass,Paid,7,9871236540,Poor,1,1,1,4,1,"low, inside",No,No,No,No
Amanda Byrd,6831,12-C,478,97%,Pass,Paid,4,9871236540,Poor,1,10,2,6,3,"future, us",Yes,No,Yes,Yes
Emily Flores,1478,11-A,251,99%,Pass,Paid,2,9871236540,Average,0,3,3,3,2,"true, manager, best",Yes,No,Yes,Yes
Jaime David,2490,11-B,289,90%,Pass,Unpaid,0,9871236540,Average,5,7,5,0,4,"site, by, threat, give, stock",Yes,No,No,Yes
Darlene White,4241,12-A,422,81%,Pass,Unpaid,9,9871236540,Average,3,7,8,4,1,"structure, high, company",Yes,Yes,No,No
Patricia Hudson,1811,12-C,202,86%,Fail,Paid,2,9871236540,Average,1,0,8,0,4,"public, business, soldier",Yes,Yes,No,Yes
Michelle Roberts,6806,12-C,444,92%,Pass,Unpaid,4,9871236540,Excellent,1,0,4,1,3,"myself, house, morning",No,Yes,Yes,No
James Garcia,7333,11-B,392,90%,Pass,Unpaid,5,9871236540,Good,3,3,1,0,2,"admit, after, view, herself",Yes,Yes,No,Yes
Laurie Diaz,2578,12-B,408,93%,Pass,Paid,6,9871236540,Excellent,0,7,0,3,3,"director, hold",Yes,Yes,Yes,Yes
Steven Jones,7392,12-B,267,80%,Pass,Paid,5,9871236540,Excellent,0,7,8,1,3,"agent, election, lawyer",No,No,Yes,No
Pamela Acosta,5135,11-C,444,88%,Pass,Paid,9,9871236540,Good,0,9,6,1,2,"capital, partner, training, whatever",No,Yes,Yes,No
